user,num_ratings,Dataset
1.0,53,ML1M
2.0,129,ML1M
3.0,51,ML1M
4.0,21,ML1M
5.0,198,ML1M
6.0,71,ML1M
7.0,31,ML1M
8.0,139,ML1M
9.0,106,ML1M
10.0,401,ML1M
11.0,137,ML1M
12.0,23,ML1M
13.0,108,ML1M
14.0,25,ML1M
15.0,201,ML1M
16.0,35,ML1M
17.0,211,ML1M
18.0,305,ML1M
19.0,255,ML1M
20.0,24,ML1M
21.0,22,ML1M
22.0,297,ML1M
23.0,304,ML1M
24.0,136,ML1M
25.0,85,ML1M
26.0,400,ML1M
27.0,70,ML1M
28.0,107,ML1M
29.0,108,ML1M
30.0,43,ML1M
31.0,119,ML1M
32.0,48,ML1M
33.0,391,ML1M
34.0,164,ML1M
35.0,198,ML1M
36.0,351,ML1M
37.0,53,ML1M
38.0,100,ML1M
39.0,62,ML1M
40.0,96,ML1M
41.0,25,ML1M
42.0,231,ML1M
43.0,24,ML1M
44.0,193,ML1M
45.0,297,ML1M
46.0,41,ML1M
47.0,22,ML1M
48.0,598,ML1M
49.0,108,ML1M
50.0,43,ML1M
51.0,40,ML1M
52.0,79,ML1M
53.0,684,ML1M
54.0,40,ML1M
55.0,25,ML1M
56.0,67,ML1M
57.0,64,ML1M
58.0,437,ML1M
59.0,213,ML1M
60.0,70,ML1M
61.0,36,ML1M
62.0,498,ML1M
63.0,98,ML1M
64.0,27,ML1M
65.0,121,ML1M
66.0,26,ML1M
67.0,64,ML1M
68.0,72,ML1M
69.0,65,ML1M
70.0,54,ML1M
71.0,29,ML1M
72.0,43,ML1M
73.0,255,ML1M
74.0,43,ML1M
75.0,175,ML1M
76.0,87,ML1M
77.0,39,ML1M
78.0,140,ML1M
79.0,31,ML1M
80.0,48,ML1M
81.0,86,ML1M
82.0,118,ML1M
83.0,99,ML1M
84.0,31,ML1M
85.0,39,ML1M
86.0,48,ML1M
87.0,59,ML1M
88.0,68,ML1M
89.0,21,ML1M
90.0,225,ML1M
91.0,44,ML1M
92.0,430,ML1M
93.0,220,ML1M
94.0,21,ML1M
95.0,99,ML1M
96.0,81,ML1M
97.0,154,ML1M
98.0,20,ML1M
99.0,107,ML1M
100.0,76,ML1M
101.0,106,ML1M
102.0,132,ML1M
103.0,115,ML1M
104.0,46,ML1M
105.0,61,ML1M
106.0,47,ML1M
107.0,121,ML1M
108.0,37,ML1M
109.0,81,ML1M
110.0,80,ML1M
111.0,92,ML1M
112.0,60,ML1M
113.0,68,ML1M
114.0,98,ML1M
115.0,38,ML1M
116.0,86,ML1M
117.0,505,ML1M
118.0,224,ML1M
119.0,105,ML1M
120.0,63,ML1M
121.0,72,ML1M
122.0,57,ML1M
123.0,608,ML1M
124.0,23,ML1M
125.0,71,ML1M
126.0,51,ML1M
127.0,174,ML1M
